"","Species","CHELSA_bio2_1981.2010_V.2.1_median","CHELSA_bio3_1981.2010_V.2.1_median","CHELSA_bio4_1981.2010_V.2.1_median","CHELSA_bio7_1981.2010_V.2.1_median","CHELSA_bio11_1981.2010_V.2.1_median","CHELSA_bio15_1981.2010_V.2.1_median","CHELSA_bio17_1981.2010_V.2.1_median"
"743","Nesoryzomys fernandinae","1","17.000974608058","173.994012462365","5.99986075299944","20.0004177176125","97.9935952027036","42.0118354257075"
"744","Nesoryzomys narboroughi","1","17.000974608058","173.994012462365","5.99986075299944","20.0004177176125","97.9935952027036","42.0118354257075"
"745","Nesoryzomys swarthi","1","22.9981899247209","157.995683323593","5.99972152538861","21.0001392470006","77.9961014911688","68.0110002803672"
"746","Neusticomys ferreirai","8","67.0004177661944","71.0016718475548","12","24.9997214254025","68.9997217419989","61.0006937696256"
"747","Neusticomys monticolus","7.00027853400113","82.9993035729972","32.0033435047702","9.00027853400113","15.0011141846053","28.0025070856015","412.053841293368"
"748","Neusticomys mussoi","6.9997911143098","74.5002088493101","68.9983290903776","9.49972152451217","21.0007661999884","45.5011845818792","198.242056037877"
"749","Neusticomys oyapocki","8","66.9999302207951","91.4970750429343","11.9997213419989","25","58.4995825132315","157.994150595033"
"750","Neusticomys peruviensis","7.99993039649972","71.4996518201962","64.9995828436041","10.9999303964997","23.0001392650003","58.9995823445756","105.002853731927"
"751","Neusticomys venezuelae","7.99986065640922","74.9937327915951","67.0008354988483","10.0001392515925","24.0002786145919","56.9988848937695","202.993733445084"
"752","Notiomys edwardsii","10","40.000000009689","535.497422035601","25.0001391736253","1.99979127487717","32.4991636870567","47.9993044968129"
"753","Notiosorex evotis","13.0002784989093","56.5005569118189","284.002231227655","22.0002784892119","17.998677043192","113.995961546391","16.0052914123128"
"754","Notiosorex villai","10.9999304624997","53.9985375523879","383.517622647275","21.0002787386028","14.5007658780073","68.4996519222141","61.502576226821"
"755","Notocitellus annulatus","11.0002785026075","63.9995821162122","124.009473495071","17.0005571486086","22.9993031834226","107.998468350745","16.0018104548975"
"756","Nyctomys sumichrasti","7.99958225160276","63.9990946701949","114.506964211534","12.9999303288001","22.9999303596005","68.4979113338751","99.52123436553"
"757","Ochrotomys nuttalli","10","32.0000695657937","736.000699358898","30.0001392712934","6.99951224461633","16.9998603021701","262.995470758602"
"758","Octodon bridgesi","10.0002089015695","45.5002780064821","423.518109341903","21.999722562277","6.49916360092631","77.5010431555729","105.986710930742"
"759","Octodon degus","9.49993080495561","48.9988855553775","358.008488267802","20.4996531844788","9.4990940574224","107.499232680588","7.00592196062599"
"760","Octodon lunatus","7.99944400029925","49.9986078487582","262.024262262974","15.9997232730675","10.9976313671397","115.997907373501","4.00181167835409"
"761","Octodon pacificus","3.00111428062643","33.0034807012338","178.02451320828","8.00208902625232","9.99958207437635","64.0013906068958","126.000142105477"
"762","Octodontomys gliroides","12.4995823539087","64.9988156611501","284.985653201455","20.0005570001377","6.00048731559102","106.497353319606","10.0012528847"
"763","Octomys mimax","11.4999998943057","44.9999300894213","543.998954456089","25.4999999923068","10.0000699125782","85.9997204473842","12.9998610009978"
"764","Odocoileus virginianus","9.9998605878067","31.0001397104036","837.004321083344","33.9998609626095","-0.000696556199980883","48.9942898261823","93.9993021536476"
"765","Oecomys auyantepui","7.99944274575837","71.9994425228128","70.0009758901832","10.0001393790006","25","55.997492341277","227.999161284473"
"766","Oecomys bicolor","7.99972147799888","71.000000037784","67.9974922402225","10.9997214876957","24.9998607641069","58.000348290977","150.999509609836"
"767","Oecomys catherinae","9","66.0003482175014","120.999794374833","13.9998607987071","23.0004875376844","81.0006967227886","31.9987467181003"
"768","Oecomys cleberi","9.99972143680838","62.9999997874014","141.998260758975","15","21.5000695954994","78.5004873313974","39.4978417125011"
"769","Oecomys concolor","7.00013934300056","72.9999995535622","60.0008356214065","10.0000000193992","25","55.9991647248006","162.008632042244"
"770","Oecomys flavicans","6.99986060337591","75.999024577096","58.002646468852","9.99958203218655","24.0002786145919","45.0043186984698","130.976317239689"
"771","Oecomys mamorae","9","59.9995820749983","184.996519869971","14.9997216693936","22.000000019397","61.9986076269708","74.9984684645816"
"772","Oecomys paricola","8","68.9999999805908","65.0013930997947","11.0001393915919","25","64.0005575016347","101.009323662694"
"773","Oecomys phaeotis","7.99972149169542","71.5002784640008","63.9967279197168","10.0002089691072","20.5009050936274","56.999999944","235.98133980198"
"774","Oecomys rex","7.99916408311465","70.9999302602054","66.9999304139098","10.0001393692951","25.0000000194109","51.9987465312276","238.999932396084"
"775","Oecomys roberti","7.99986078899944","70.0001392110005","58.0008355940034","10.9998607889994","25","60.0002786392072","117.99512594977"
"776","Oecomys rutilus","7.00027860659302","71.9997213539989","66.0013939260056","10.0001392784081","25","54.000418486779","239.999169581284"
"777","Oecomys speciosus","7.99972139406685","72.4935922652018","74.4984674076092","11.0001392790006","25.9997213691105","63.0015316606522","78.5036234063711"
"778","Oecomys superans","7","76.0002088845008","47.9992341834972","9","24.0001392170006","32.9996520964947","359.499052201957"
"779","Oecomys trinitatis","8","69.9996515379123","93.4976322771701","11.999581841877","24.0002785402968","63.9991645497076","106.0113018559"
"780","Olallamys albicauda","7.99986072499943","82.0000000388039","29.0020893721845","9.99986070559745","17.0022285133911","37.0022283601952","344.988301285228"
"781","Olallamys edax","6.9995822286196","78.0001392635952","52.9979110872607","8.99944300502435","18.0020893309552","32.0047361756965","273.97158177712"
"782","Oligoryzomys andinus","8.99986074330318","71.4998606986954","86.9963108881014","11.9997911458032","7.50153170087998","66.9971453972733","62.5286893952896"
"783","Oligoryzomys arenalis","7.0008353700034","71.0020887630832","83.995963764881","10.0011139338337","15.9967974258581","79.9966577781625","10.0038979453091"
